AMAH,"In South Asia, a woman employed to look after children; (formerly) a wet nurse."
AMAS,
AMBO,"A raised platform in an early Christian church, as well as in the Eastern Orthodox, Oriental Orthodox, and Eastern Catholic churches."
AMEN,An instance of saying ‘amen’.
AMES,
AMIA,
AMID,In the middle of; in the center of; surrounded by.
AMIE,
AMIN,
AMIR,"A prince, commander or other leader or ruler in an Islamic nation."
AMIS,
AMLA,
AMMO,Ammunition.
AMOK,
AMPS,Short for ampere.
AMUS,
AMYL,Pentyl
ANAL,Any of the anal scales of a reptile.
ANAN,
ANAS,
ANCE,(frequency) One and only one time.
ANDS,"In rhythm, the second half of a divided beat."
ANES,
ANEW,"Again, once more; afresh, in a new way, newly."
ANGA,
ANIL,
ANIS,A bird of the genus Crotophaga in the cuckoo family.
ANKH,"A cross shaped like a T with a loop at the top, the Egyptian hieroglyph representing the Egyptian triliteral ?n? and often used as an amulet or charm for this concept."
ANNA,A unit of currency in former British India equal to 12 pies or 1/16 rupee.
ANNO,
ANNS,
ANOA,"Any of either Bubalus quarlesi or Bubalus depressicornis, being species of small Indonesian water buffalo similar in appearance to a deer."
ANON,Straight away; at once.
ANOW,
ANSA,
ANTA,
ANTE,"A price or cost, as in up the ante."
ANTI,A person opposed to a concept or principle.
ANTS,"Any of various insects in the family Formicidae in the order Hymenoptera, typically living in large colonies composed almost entirely of flightless females."
ANUS,"The lower orifice of the alimentary canal, through which feces and flatus are ejected."
APAY,
APED,To behave like an ape.
APER,
APES,"A primate of the clade Hominoidea, generally larger than monkeys and distinguished from them by having no tail."
APEX,Conical priest cap
APOD,
APOS,
APPS,"An application (program), especially a small one designed for a mobile device."
APSE,"A semicircular projection from a building, especially the rounded east end of a church that contains the altar."
APSO,
APTS,An apartment; a flat.
AQUA,The compound water.
ARAK,"A clear, unsweetened aniseed-flavoured alcoholic drink, produced and consumed primarily in the Middle East"
ARAR,
ARBA,
ARBS,The act of or potential for arbitrage.
ARCH,An inverted U shape.
ARCO,"A note in string instrument musical notation indicating that the bow is to be used in the usual way, usually following a passage that is played pizzicato."
ARCS,That part of a circle which a heavenly body appears to pass through as it moves above and below the horizon.
ARDS,
AREA,A measure of the extent of a surface; it is measured in square units.
ARED,
AREG,"A large desert region of sand dunes with little or no vegetation, especially in the Sahara."
ARES,"An accepted (but deprecated and rarely used) SI unit of area equal to 100 square metres, or a former unit of approximately the same extent. Symbol: a."
ARET,
AREW,
ARFS,
ARGH,"Expressing annoyance, dismay, embarrassment or frustration."
ARIA,A musical piece written typically for a solo voice with orchestral accompaniment in an opera or cantata.
ARID,Very dry.
ARIL,A tissue surrounding the seed in certain fruits such as pomegranates.
ARIS,
ARKS,A large box with a flat lid.
ARLE,
ARMS,"The portion of the upper human appendage, from the shoulder to the wrist and sometimes including the hand."
ARMY,"A large, highly organized military force, concerned mainly with ground (rather than air or naval) operations."
ARNA,
AROW,
ARPA,
ARSE,"The buttocks or more specifically, the anus."
ARSY,
ARTI,
ARTS,"The conscious production or arrangement of sounds, colours, forms, movements, or other elements in a manner that affects the senses and emotions, usually specifically the production of the beautiful in a graphic or plastic medium."
ARTY,Pretending to artistic worth; high-flown.
ARUM,A flower or plant in the genus Arum
ARVO,Afternoon.
ARYL,Any univalent organic radical derived from an aromatic hydrocarbon by removing a hydrogen atom.
ASAR,
ASCI,A sac-shaped cell present in ascomycete fungi; it is a reproductive cell in which meiosis and an additional cell division produce eight spores.
ASEA,
ASHY,Having the color of ashes.
ASKS,"To request (information, or an answer to a question)."
ASPS,A water snake.
ATAP,
ATES,
ATMA,
ATOC,
ATOK,
ATOM,"The smallest possible amount of matter which still retains its identity as a chemical element, now known to consist of a nucleus surrounded by electrons."
ATOP,"On, to, or at the top."
ATUA,
AUAS,
AUFS,
AUGH,
AUKS,Any of several species of Arctic sea birds of the family Alcidae.
AULA,
AULD,Old
AUNE,
AUNT,The sister or sister-in-law of one’s parent.
AURA,Distinctive atmosphere or quality associated with something.
AUTO,An automobile.
AVAL,
AVAS,
AVEL,
AVER,"To assert the truth of, to affirm with confidence; to declare in a positive manner."
AVES,An Ave Maria.
AVID,Enthusiastic; keen; eager; showing great interest in something or desire to do something
AVOS,"A subdivision of currency, equal to one hundredth of a Macanese pataca."
AVOW,Avowal
AWAY,To depart; to go to another place.
AWDL,
AWED,To inspire fear and reverence in.
AWEE,
AWES,To inspire fear and reverence in.
AWFY,
AWKS,
AWLS,"A pointed instrument for piercing small holes, as in leather or wood; used by shoemakers, saddlers, cabinetmakers, etc. The blade is differently shaped and pointed for different uses, as in the brad awl, saddler's awl, shoemaker's awl, etc."
AWNS,"The bristle or beard of barley, oats, grasses, etc., or any similar bristlelike appendage; arista."
AWNY,
AWOL,"Absence without proper authority from the properly appointed place of duty, or from unit, organization, or other place of duty at which one is required to be at the time prescribed."
AWRY,"Turned or twisted toward one side; crooked, distorted, out of place; wry."
AXAL,
AXED,"To request (information, or an answer to a question)."
AXEL,A jump that includes one (or more than one) complete turn and a half turn while in the air.
AXES,"A tool for felling trees or chopping wood etc. consisting of a heavy head flattened to a blade on one side, and a handle attached to it."
AXIL,"The angle or point of divergence between the upper side of a branch, leaf, or petiole, and the stem or branch from which it springs."
AXIS,An imaginary line around which an object spins (an axis of rotation) or is symmetrically arranged (an axis of symmetry).
AXLE,Shoulder.
AXON,"A nerve fibre which is a long slender projection of a nerve cell, and which conducts nerve impulses away from the body of the cell to a synapse."
AYAH,"A South Asian female servant, maid or nanny, historically, often one working for Europeans in South Asia."
AYES,An affirmative vote; one who votes in the affirmative.
AYIN,
AYRE,
AYUS,
AZAN,"The call to prayer, which originally consisted of simply four takbirs followed by the statement ??? ?????? ?????? ???? (???????? ????)."
AZON,
AZYM,
BAAL,
BABA,A kind of sponge cake soaked in rum-flavoured syrup.
BABE,A baby or infant; a very young human or animal.
BABU,"(Indian English) A Hindu title of respect, equivalent to Mr., usually appended to the surname of a Hindu man"
BABY,"A very young human, particularly from birth to a couple of years old or until walking is fully mastered."
BACH,"(northern) A holiday home, usually small and near the beach, often with only one or two rooms and of simple construction."
BACK,"The rear of the body, especially the part between the neck and the end of the spine and opposite the chest and belly."
BACS,
BADE,To issue a command; to tell.
BADS,
BAES,Darling (term of endearment).
BAEL,
BAFF,
BAFT,On the aft side; in the stern.
BAGH,A type of enclosed garden common in south and south-eastern Asia.
BAGS,"A flexible container made of cloth, paper, plastic, etc."
BAHT,"The official currency of Thailand, equal to 100 satang."
BAHU,"A daughter-in-law, especially one who lives with her husband's family when married."
BAIL,"Security, usually a sum of money, exchanged for the release of an arrested person as a guarantee of that person's appearance for trial."
BAIT,"Any substance, especially food, used in catching fish, or other animals, by alluring them to a hook, snare, trap, or net."
BAJU,
BAKE,The act of cooking food by baking.
BALD,"A mountain summit or crest that lacks forest growth despite a warm climate conducive to such, as is found in many places in the Southern Appalachian Mountains."
BALE,"Evil, especially considered as an active force for destruction or death."
BALK,"An uncultivated ridge formed in the open field system, caused by the action of ploughing."
BALL,"A solid or hollow sphere, or roughly spherical mass."
BALM,"Any of various aromatic resins exuded from certain plants, especially trees of the genus Commiphora of Africa, Arabia and India and Myroxylon of South America."
BALS,
BALU,
BAMS,
BANC,
BAND,A strip of material used for strengthening or coupling.
BANE,A cause of misery or death.
BANG,A sudden percussive noise.
BANI,"A subdivision of currency, equal to one hundredth of a Romanian leu."
BANK,An institution where one can place and borrow money and take care of financial affairs.
BANS,Prohibition.
BANT,
BAOS,Any of various types of steamed bread or bun used in Chinese cuisine
BAPS,"A soft bread roll, originally from Scotland."
BAPU,Father
BARB,"The point that stands backward in an arrow, fishhook, etc., to prevent it from being easily extracted. Hence: Anything which stands out with a sharp point obliquely or crosswise to something else."
BARD,"A professional poet and singer, like among the ancient Celts, whose occupation was to compose and sing verses in honor of the heroic achievements of princes and brave men."
BARE,"(‘the bare’) The surface, the (bare) skin."
BARF,Vomit
BARK,"The short, loud, explosive sound uttered by a dog, a fox, and some other animals."
BARM,"(obsolete outside dialectal) Bosom, lap."
BARN,"A building, often found on a farm, used for storage or keeping animals such as cattle."
BARP,
BARS,"A solid, more or less rigid object of metal or wood with a uniform cross-section smaller than its length."
BASE,Something from which other things extend; a foundation.
BASH,A large party; gala event.
BASK,To bathe in warmth; to be exposed to pleasant heat.
BASS,A low spectrum of sound tones.
BAST,Fibre made from the phloem of certain plants and used for matting and cord.
BATE,To reduce the force of something; to abate.
BATH,A tub or pool which is used for bathing: bathtub.
BATS,"Any of the flying mammals of the order Chiroptera, usually small and nocturnal, insectivorous or frugivorous."
BATT,Pieces of fabric or fibre used for stuffing; as for batting or insulation
BAUD,A unit of data transmission symbol rate; the number of signalling events per second.
BAUK,
BAUR,
BAWD,"A person who keeps a house of prostitution, or procures women for prostitution; a procurer, a madame."
BAWK,
BAWL,"A loud, intense shouting or wailing."
BAWN,A cattle-fort; a building used to shelter cattle.
BAWR,
BAYE,
BAYS,A berry.
BAYT,
BAZZ,
BEAD,"Prayer, later especially with a rosary."
BEAK,Anatomical uses.
BEAL,
BEAM,"Any large piece of timber or iron long in proportion to its thickness, and prepared for use."
BEAN,A reusable software component written in Java.
BEAR,"A large omnivorous mammal, related to the dog and raccoon, having shaggy hair, a very small tail, and flat feet; a member of family Ursidae."
BEAT,A stroke; a blow.
BEAU,A man with a reputation for fine dress and etiquette; a dandy or fop.
BECK,A stream or small river.
BEDE,
BEDS,"A piece of furniture, usually flat and soft, on which to rest or sleep."
BEDU,
BEEF,"The meat from a cow, bull or other bovine."
BEEN,"A flying insect, of the clade Anthophila within the hymenopteran superfamily Apoidea, known for its organised societies (though only a minority have them), for collecting pollen and (in some species) producing wax and honey."
BEEP,"The sound produced by the horn of a car, or any similar sound."
BEER,"An alcoholic drink fermented from starch material, commonly barley malt, often with hops or some other substance to impart a bitter flavor."
BEES,"A flying insect, of the clade Anthophila within the hymenopteran superfamily Apoidea, known for its organised societies (though only a minority have them), for collecting pollen and (in some species) producing wax and honey."
BEET,"Beta vulgaris, a plant with a swollen root which is eaten or used to make sugar."
BEGO,
BEGS,The act of begging; an imploring request.
BEIN,
BELL,"A percussive instrument made of metal or other hard material, typically but not always in the shape of an inverted cup with a flared rim, which resonates when struck."
BELS,"A tropical fruit tree from India, Aegle marmelos."
BELT,"A band worn around the waist to hold clothing to one's body (usually pants), hold weapons (such as a gun or sword), or serve as a decorative piece of clothing."
BEMA,A platform from which speakers addressed an assembly.
BEND,A curve.
BENE,
BENI,
BENJ,
BENS,A prayer; a petition.
BENT,"To cause (something) to change its shape into a curve, by physical force, chemical action, or any other means."
BERE,
BERG,An iceberg.
BERK,"(sometimes affectionate) A fool, prat, twit."
BERM,"A narrow ledge or shelf, as along the top or bottom of a slope"
BEST,"The supreme effort one can make, or has made."
BETA,"The second letter of the Greek alphabet (?,  ?), preceded by alpha (?,  ?) and followed by gamma, (?,  ?). In modern Greek it represents the voiced labiodental fricative sound of v found in the English words have and vase."
BETE,
BETH,"The second letter of the Aramaic alphabet, ??"
BETS,"A wager, an agreement between two parties that a stake (usually money) will be paid by the loser to the winner (the winner being the one who correctly forecast the outcome of an event)."
BEVY,"(collective) A group of animals, in particular quail."
BEYS,A governor of a province or district in the Turkish dominions
BHAI,
BHAT,
BHEL,
BHUT,
BIAS,"Inclination towards something; predisposition, partiality, prejudice, preference, predilection."
BIBB,A bibcock.
BIBE,
BIBS,An item of clothing for people (especially babies) tied around their neck to protect their clothes from getting dirty when eating.
BICE,"A pale blue pigment, prepared from the native blue carbonate of copper, or from smalt."
BIDE,To bear; to endure; to tolerate.
BIDI,Moving in two directions (usually opposite).
BIDS,To issue a command; to tell.
BIEN,
BIER,A litter to transport the corpse of a dead person.
BIFF,"A sudden, sharp blow or punch."
BIGA,A Roman racing chariot drawn by two horses abreast.
BIGG,
BIGS,Someone or something that is large in stature
BIKE,"A vehicle that has two wheels, one behind the other, a steering handle, and a saddle seat or seats and is usually propelled by the action of a rider’s feet upon pedals."
BILE,"A bitter brownish-yellow or greenish-yellow secretion produced by the liver, stored in the gall bladder, and discharged into the duodenum where it aids the process of digestion."
BILK,The spoiling of someone's score in the crib.
BILL,"Any of various bladed or pointed hand weapons, originally designating an Anglo-Saxon sword, and later a weapon of infantry, especially in the 14th and 15th centuries, commonly consisting of a broad, heavy, double-edged, hook-shaped blade, with a short pike at the back and another at the top, attached to the end of a long staff."
BIMA,The raised platform in the front of a synagogue where the Torah is read on a podium.
BIND,That which binds or ties.
BINE,"A climbing plant which climbs by its shoots growing in a helix around a support (distinct from a vine, which climbs using tendrils or suckers)."
BING,"Prison solitary confinement, a term used by inmates."
BINK,
BINS,"A box, frame, crib, or enclosed place, used as a storage container."
BIOG,A biography.
BIOS,Biographical sketch
BIRD,"A member of the class of animals Aves in the phylum Chordata, characterized by being warm-blooded, having feathers and wings usually capable of flight, and laying eggs."
BIRK,
BIRL,To pour a drink (for).
BIRO,A BIRO brand ballpoint pen.
BIRR,"Force, vigor, energy"
BISE,
BISH,Bitch (as a term of abuse).
BISK,
BIST,
BITE,The act of biting.
BITO,
BITS,A piece of metal placed in a horse's mouth and connected to the reins to direct the animal.
BITT,The bitts.
BIZE,
BLAB,One who blabs; a babbler; a telltale; a gossip or gossiper.
BLAD,
BLAE,
BLAG,A means of obtaining something by trick or deception.
BLAH,"Nonsense; drivel; idle, meaningless talk."
BLAM,"A sudden, explosive sound, such as is made by a gunshot"
BLAT,"To cry, as a calf or sheep; to bleat."
BLAW,
BLAY,
BLEB,"A bubble, such as in paint or glass."
BLED,(of a person or animal) To lose blood through an injured blood vessel.
BLEE,
BLET,
BLEW,To produce an air current.
BLEY,
BLIN,Cessation; end.
BLIP,To emit one or more bleeps.
BLIT,
BLOB,"A shapeless or amorphous mass; a vague shape or amount, especially of a liquid or semisolid substance; a clump, group or collection that lacks definite shape."
BLOC,A group of voters or politicians who share common goals.
BLOG,"A website that allows users to reflect, share opinions, and discuss various topics in the form of an online journal, sometimes letting readers comment on their posts. Most blogs are written in a slightly informal tone (personal journals, news, businesses, etc.)"
BLOT,"A blemish, spot or stain made by a coloured substance."
BLOW,A strong wind.
BLUB,The act of blubbing.
BLUD,
BLUE,"The colour of the clear sky or the deep sea, between green and violet in the visible spectrum, and one of the primary additive colours for transmitted light; the colour obtained by subtracting red and green from white light using magenta and cyan filters; or any colour resembling this."
BLUR,"A smear, smudge or blot"
BOAB,"Adansonia gregorii, a baobab species endemic to the Kimberley region and the Northern Territory of Australia."
BOAK,To burp.
BOAR,"A wild boar (Sus scrofa), the wild ancestor of the domesticated pig."
BOAS,"Any of a group of large American snakes, of the genus Boa, subfamily Boinae, or family Boidae, including the boa constrictor, the emperor boa of Mexico, and the chevalier boa of Peru."
BOAT,"A craft used for transportation of goods, fishing, racing, recreational cruising, or military use on or in the water, propelled by oars or outboard motor or inboard motor or by wind."
BOBA,Short for boba tea.
BOBO,A materialistic person who affects an anti-materialistic persona.
BOBS,A bobbing motion; a quick up and down movement.
BOCK,A strong dark beer brewed in the fall and aged through the winter for spring consumption.
BODE,An omen; a foreshadowing.
BODS,The body.
BODY,Physical frame.
BOEP,
BOET,
BOFF,(entertainment) A big laugh.
BOGS,An area of decayed vegetation (particularly sphagnum moss) which forms a wet spongy ground too soft for walking; a marsh or swamp.
BOGY,"One who robs others in a lawless area, especially as part of a group."
BOHO,A bohemian.
BOHS,
BOIL,"A localized accumulation of pus in the skin, resulting from infection."
BOIS,
BOKE,To thrust or push out; butt; poke.
BOKO,
BOKS,
BOLA,A throwing weapon made of weights on the ends of a cord.
BOLD,A dwelling; habitation; building.
BOLE,The trunk or stem of a tree.
BOLL,The rounded seed-bearing capsule of a cotton or flax plant.
BOLO,"A long, heavy, single-edged machete."
BOLT,"A (usually) metal fastener consisting of a cylindrical body that is threaded, with a larger head on one end. It can be inserted into an unthreaded hole up to the head, with a nut then threaded on the other end; a heavy machine screw."
BOMA,"An enclosure usually made of thorn bushes, and latterly of steel fencing, for protection from marauders."
BOMB,An explosive device used or intended as a weapon.
BONA,
BOND,"Evidence of a long-term debt, by which the bond issuer (the borrower) is obliged to pay interest when due, and repay the principal at maturity, as specified on the face of the bond certificate. The rights of the holder are specified in the bond indenture, which contains the legal terms and conditions under which the bond was issued. Bonds are available in two forms: registered bonds, and bearer bonds."
BONE,A composite material consisting largely of calcium phosphate and collagen and making up the skeleton of most vertebrates.
BONG,The clang of a large bell.
BONK,A bump on the head.
BONY,"Resembling, having the appearance or consistence of, or relating to bone; osseous."
BOOB,"Idiot, fool."
BOOH,
BOOK,"A collection of sheets of paper bound together to hinge at one edge, containing printed or written material, pictures, etc."
BOOL,
BOOM,"A low-pitched, resonant sound, such as of an explosion."
BOON,A prayer; petition.
BOOR,A peasant.
BOOS,A derisive shout made to indicate disapproval.
BOOT,A heavy shoe that covers part of the leg.
BOPS,"A very light smack, blow or punch."
BORA,A initiation ceremony for males among the Aborigines of New South Wales.
BORD,
BORE,"A hole drilled or milled through something, or (by extension) its diameter."
BORK,"(US politics) To defeat a person's appointment or election, judicial nomination, etc., through a concerted attack on the person's character, background, and philosophy."
BORM,
BORN,"To carry or convey, literally or figuratively."
BORS,
BORT,"Poor-quality diamond, used for industrial cutting or abrasion; a poorly crystallized diamond."
BOSH,Nonsense.
BOSK,
BOSS,A person who oversees and directs the work of others; a supervisor.
BOTA,
BOTE,
BOTH,"Each of the two, or of the two kinds."
BOTS,"The larva of a botfly, which infests the skin of various mammals, producing warbles, or the nasal passage of sheep, or the stomach of horses."
BOTT,"The larva of a botfly, which infests the skin of various mammals, producing warbles, or the nasal passage of sheep, or the stomach of horses."
BOUK,
BOUN,
BOUT,"A period of something, usually painful or unpleasant."
BOWL,"A roughly hemispherical container used to hold, mix or present food, such as salad, fruit or soup, or other items."
BOWR,
BOWS,A firm branch of a tree.
BOXY,Box-like or box-shaped.
BOYF,Boyfriend
BOYG,
BOYO,A boy or lad.
BOYS,A young male.
BOZO,"A stupid, foolish, or ridiculous person, especially a man."
BRAD,"A thin, small nail, with a slight projection at the top on one side instead of a head, or occasionally with a small domed head, similar to that of an escutcheon pin."
BRAE,The sloping bank of a river valley.
BRAG,A boast or boasting; bragging; ostentatious pretence or self-glorification.
BRAK,Brackish.
BRAN,"The broken coat of the seed of wheat, rye, or other cereal grain, separated from the flour or meal by sifting or bolting; the coarse, chaffy part of ground grain."
BRAP,
BRAS,"One of the two vectors in the standard notation for describing quantum states in quantum mechanics, the other being the ket."
BRAT,"A child who is regarded as mischievous, unruly, spoiled, or selfish."
BRAW,
BRAY,"The cry of an animal, now chiefly that of animals related to the ass or donkey, or the camel."
BRED,To produce offspring sexually; to bear young.
BREE,
BREI,
BREN,To burn (to set ablaze).
BRER,Son of the same parents as another person.
BREW,"The mixture formed by brewing; that which is brewed; a brewage, such as a cup of tea or a brewed beer."
BREY,
BRIE,"A variety of soft, mild French cheese made from cow's milk."
BRIG,"A two-masted vessel, square-rigged on both foremast and mainmast"
BRIK,
BRIM,The sea; ocean; water; flood.
BRIN,
BRIO,Vigour or vivacity.
BRIS,Ritual male circumcision.
BRIT,To break in pieces; divide.
BROD,
BROG,
BROO,
BROS,Brother; a male sibling
BROW,The ridge over the eyes; the eyebrow.
BRRR,"Used to express being cold, to show shivering."
BRUS,
BRUT,"(of champagne) very dry, and not sweet"
BRUX,
BUAT,
BUBA,
BUBO,"An inflamed swelling of a lymph node, especially in the armpit or the groin, due to an infection such as bubonic plague, gonorrhea, tuberculosis or syphilis."
BUBS,
BUBU,
BUCK,"A male deer, antelope, sheep, goat, rabbit, hare, and sometimes the male of other animals such as the hamster, ferret and shad."
BUDA,
BUDI,
BUDO,Japanese martial arts
BUDS,A newly sprouted leaf or blossom that has not yet unfolded.
BUFF,Undyed leather from the skin of buffalo or similar animals.
BUFO,
BUGS,An insect of the order Hemiptera (the “true bugs”).
BUHL,"A particularly decorative piece of brass or other material, used as inlay in furniture or other works."
BUHR,
BUIK,
BUKE,
BULB,"Any solid object rounded at one end and tapering on the other, possibly attached to a larger object at the tapered end."
BULK,"Size, specifically, volume."
BULL,An adult male of domesticated cattle or oxen.
BUMF,Toilet paper.
BUMP,A light blow or jolting collision.
BUMS,The buttocks.
BUNA,
BUND,A league or confederacy; especially the confederation of German states.
BUNG,"A stopper, alternative to a cork, often made of rubber used to prevent fluid passing through the neck of a bottle, vat, a hole in a vessel etc."
BUNK,One of a series of berths or beds placed in tiers.
BUNN,
BUNS,"A small bread roll, often sweetened or spiced."
BUNT,"The middle part, cavity, or belly of a sail; the part of a furled sail which is at the center of the yard."
BUOY,"A float moored in water to mark a location, warn of danger, or indicate a navigational channel."
BURA,
BURB,(chiefly in the plural) A suburb.
BURD,
BURG,A city or town.
BURK,To vomit.
BURL,A tree growth in which the grain has grown in a deformed manner.
BURN,"A physical injury caused by heat, cold, electricity, radiation or caustic chemicals."
BURP,A belch.
BURR,"A sharp, pointy object, such as a sliver or splinter."
BURS,"A rough, prickly husk around the seeds or fruit of some plants."
BURY,A burrow.
BUSH,"A woody plant distinguished from a tree by its multiple stems and lower height, being usually less than six metres tall; a horticultural rather than strictly botanical category."
BUSK,"A strip of metal, whalebone, wood, or other material, worn in the front of a corset to stiffen it."
BUSS,
BUST,A sculptural portrayal of a person's head and shoulders.
BUSY,A police officer.
BUTE,Phenylbutazone.
BUTS,An instance or example of using the word \
BUTT,"The larger or thicker end of something; the blunt end, in distinction from the sharp or narrow end"
BUYS,Something which is bought; a purchase.
BUZZ,"A continuous, humming noise, as of bees; a confused murmur, as of general conversation in low tones."
BYDE,
BYES,"The position of a person or team in a tournament or competition who draws no opponent in a particular round so advances to the next round unopposed, or is awarded points for a win in a league table; also the phantom opponent of such a person or team."
BYKE,
BYRE,"A barn, especially one used for keeping cattle in."
BYRL,
BYTE,A short sequence of bits (binary digits) that can be operated on as a unit by a computer; the smallest usable machine word.
CAAS,
CABA,
CABS,"Initialism of chest compressions, airway and breathing."
CACA,Excrement
CACK,An act of defecation.
CADE,
CADI,A civil judge in certain Islamic countries.
CADS,"A low-bred, presuming person; a mean, vulgar fellow."
CAFE,"A convenience store, originally one that sold coffee and similar basic items."
CAFF,"Café, cafeteria."
CAFS,
CAGE,"An enclosure made of bars, normally to hold animals."
CAGS,
CAGY,"Wary, careful, shrewd."
CAID,
CAIN,
